"District Name","School Name",Content,Grade,"Participation Rate","Percent Did Not Yet Meet Expectations",2022,2019,"Change 2019 to 2022"
"Mapleton 1","All Schools",Mathematics,08,70.2,44.3,8.5,15.2,"  -6.7"
"Adams 12 Five Star Schools","All Schools","English Language Arts","All Grades",84.9,16.3,40.6,44.7,"  -4.1"
"Adams 12 Five Star Schools","All Schools","English Language Arts",03,92.7,23.9,39.7,38.2,"   1.5"
"Adams 12 Five Star Schools","All Schools","English Language Arts",04,91.1,17.6,40.0,46.5,"  -6.5"
"Adams 12 Five Star Schools","All Schools","English Language Arts",05,91.5,7.7,44.1,49.2,"  -5.1"
"Adams 12 Five Star Schools","All Schools","English Language Arts",06,85.2,14.0,39.2,39.9,"  -0.7"
"Adams 12 Five Star Schools","All Schools","English Language Arts",07,80.0,15.9,39.5,46.7,"  -7.2"
"Adams 12 Five Star Schools","All Schools","English Language Arts",08,70.6,19.4,40.7,47.3,"  -6.6"
"Adams 12 Five Star Schools","All Schools",Mathematics,"All Grades",84.8,19.9,30.8,35.0,"  -4.2"
"Adams 12 Five Star Schools","All Schools",Mathematics,03,92.8,22.3,35.4,35.3,"   0.1"
"Adams 12 Five Star Schools","All Schools",Mathematics,04,91.0,21.2,29.1,32.1,"  -3.0"
"Adams 12 Five Star Schools","All Schools",Mathematics,05,91.2,16.6,36.5,36.8,"  -0.3"
"Adams 12 Five Star Schools","All Schools",Mathematics,06,84.7,23.1,26.3,32.0,"  -5.7"
"Adams 12 Five Star Schools","All Schools",Mathematics,07,79.7,14.0,22.7,33.9," -11.2"
"Adams 12 Five Star Schools","All Schools",Mathematics,08,70.5,22.1,34.4,40.1,"  -5.7"
"Adams County 14","All Schools","English Language Arts","All Grades",90.6,38.0,13.5,21.2,"  -7.7"
"Adams County 14","All Schools","English Language Arts",03,96.0,51.3,13.6,21.1,"  -7.5"
"Adams County 14","All Schools","English Language Arts",04,94.3,39.0,15.3,21.2,"  -5.9"
"Adams County 14","All Schools","English Language Arts",05,97.1,21.7,13.2,24.8," -11.6"
"Adams County 14","All Schools","English Language Arts",06,90.7,36.2,12.9,14.2,"  -1.3"
"Adams County 14","All Schools","English Language Arts",07,87.7,39.5,11.1,21.3," -10.2"
"Adams County 14","All Schools","English Language Arts",08,82.0,44.9,15.4,24.8,"  -9.4"
"Adams County 14","All Schools",Mathematics,"All Grades",92.4,42.4,5.8,13.4,"  -7.6"
"Adams County 14","All Schools",Mathematics,03,97.0,44.8,10.4,26.7," -16.3"
"Adams County 14","All Schools",Mathematics,04,94.9,45.4,6.2,11.6,"  -5.4"
"Adams County 14","All Schools",Mathematics,05,96.6,47.9,6.3,12.8,"  -6.5"
"Adams County 14","All Schools",Mathematics,06,92.8,49.9,5.3,4.2,"   1.1"
"Adams County 14","All Schools",Mathematics,07,90.5,20.1,3.6,10.1,"  -6.5"
"Adams County 14","All Schools",Mathematics,08,84.9,46.3,4.1,16.4," -12.3"
"School District 27J","All Schools","English Language Arts","All Grades",93.1,18.6,33.3,38.2,"  -4.9"
"School District 27J","All Schools","English Language Arts",03,97.0,26.3,34.5,39.4,"  -4.9"
"School District 27J","All Schools","English Language Arts",04,95.8,17.3,36.7,41.4,"  -4.7"
"School District 27J","All Schools","English Language Arts",05,95.5,9.4,35.6,45.3,"  -9.7"
"School District 27J","All Schools","English Language Arts",06,94.7,14.9,31.7,34.5,"  -2.8"
"School District 27J","All Schools","English Language Arts",07,90.1,20.7,29.9,34.5,"  -4.6"
"School District 27J","All Schools","English Language Arts",08,86.0,22.6,31.3,33.6,"  -2.3"
"School District 27J","All Schools",Mathematics,"All Grades",92.6,22.2,23.3,28.0,"  -4.7"
"School District 27J","All Schools",Mathematics,03,97.1,20.5,35.8,40.0,"  -4.2"
"School District 27J","All Schools",Mathematics,04,95.8,18.8,23.9,28.9,"  -5.0"
"School District 27J","All Schools",Mathematics,05,94.0,19.6,28.7,34.1,"  -5.4"
"School District 27J","All Schools",Mathematics,06,94.8,25.4,17.6,22.9,"  -5.3"
"School District 27J","All Schools",Mathematics,07,88.7,17.1,14.6,19.3,"  -4.7"
"School District 27J","All Schools",Mathematics,08,85.5,32.3,18.8,22.4,"  -3.6"
"Bennett 29J","All Schools","English Language Arts","All Grades",92.7,21.6,27.6,38.6," -11.0"
"Bennett 29J","All Schools","English Language Arts",03,95.8,26.5,30.9,27.6,"   3.3"
"Bennett 29J","All Schools","English Language Arts",04,96.3,40.5,10.1,26.0," -15.9"
"Bennett 29J","All Schools","English Language Arts",05,98.9,17.4,33.7,49.4," -15.7"
"Bennett 29J","All Schools","English Language Arts",06,87.5,14.3,36.9,33.7,"   3.2"
"Bennett 29J","All Schools","English Language Arts",07,90.3,17.6,28.4,48.6," -20.2"
"Bennett 29J","All Schools","English Language Arts",08,89.5,17.0,24.5,44.9," -20.4"
"Bennett 29J","All Schools",Mathematics,"All Grades",92.7,27.4,11.6,24.1," -12.5"
"Bennett 29J","All Schools",Mathematics,03,95.8,32.4,14.7,32.9," -18.2"
"Bennett 29J","All Schools",Mathematics,04,96.3,48.1,3.8,18.2," -14.4"
"Bennett 29J","All Schools",Mathematics,05,98.9,28.3,17.4,30.6," -13.2"
"Bennett 29J","All Schools",Mathematics,06,87.5,20.2,19.0,15.7,"   3.3"
"Bennett 29J","All Schools",Mathematics,07,89.4,11.9,10.9,25.7," -14.8"
"Bennett 29J","All Schools",Mathematics,08,90.5,28.4,4.2,22.5," -18.3"
"Strasburg 31J","All Schools","English Language Arts","All Grades",64.1,14.2,37.7,46.2,"  -8.5"
"Strasburg 31J","All Schools","English Language Arts",03,94.9,21.3,29.3,32.8,"  -3.5"
"Strasburg 31J","All Schools","English Language Arts",04,98.6,10.0,32.9,50.8," -17.9"
"Strasburg 31J","All Schools","English Language Arts",05,83.8,4.8,59.7,50.0,"   9.7"
"Strasburg 31J","All Schools","English Language Arts",06,50.0,12.5,35.0,47.4," -12.4"
"Strasburg 31J","All Schools","English Language Arts",07,37.6,9.4,40.6,52.2," -11.6"
"Strasburg 31J","All Schools","English Language Arts",08,36.4,28.2,28.2,41.8," -13.6"
"Strasburg 31J","All Schools",Mathematics,"All Grades",63.7,11.4,31.0,36.5,"  -5.5"
"Strasburg 31J","All Schools",Mathematics,03,94.9,10.7,33.3,38.8,"  -5.5"
"Strasburg 31J","All Schools",Mathematics,04,98.6,12.9,28.6,44.4," -15.8"
"Strasburg 31J","All Schools",Mathematics,05,83.8,"*",43.5,39.8,"   3.7"
"Strasburg 31J","All Schools",Mathematics,06,48.8,10.3,23.1,35.5," -12.4"
"Strasburg 31J","All Schools",Mathematics,07,36.5,"*",22.6,28.4,"  -5.8"
"Strasburg 31J","All Schools",Mathematics,08,36.4,30.8,25.6,30.4,"  -4.8"
"Westminster Public Schools","All Schools","English Language Arts","All Grades",97.1,25.4,23.9,26.7,"  -2.8"
"Westminster Public Schools","All Schools","English Language Arts",03,99.4,39.0,23.1,21.7,"   1.4"
"Westminster Public Schools","All Schools","English Language Arts",04,99.8,26.5,22.9,26.9,"  -4.0"
"Westminster Public Schools","All Schools","English Language Arts",05,97.1,13.3,23.2,29.1,"  -5.9"
"Westminster Public Schools","All Schools","English Language Arts",06,96.5,20.0,23.6,23.2,"   0.4"
"Westminster Public Schools","All Schools","English Language Arts",07,95.6,26.8,22.5,27.2,"  -4.7"
"Westminster Public Schools","All Schools","English Language Arts",08,94.8,27.1,28.0,32.1,"  -4.1"
"Westminster Public Schools","All Schools",Mathematics,"All Grades",97.8,34.0,13.7,16.4,"  -2.7"
"Westminster Public Schools","All Schools",Mathematics,03,99.1,32.5,21.7,27.8,"  -6.1"
"Westminster Public Schools","All Schools",Mathematics,04,99.6,28.6,17.2,18.3,"  -1.1"
"Westminster Public Schools","All Schools",Mathematics,05,98.7,34.6,13.8,15.7,"  -1.9"
"Westminster Public Schools","All Schools",Mathematics,06,97.7,35.9,9.3,10.3,"  -1.0"
"Westminster Public Schools","All Schools",Mathematics,07,96.7,22.6,8.5,10.1,"  -1.6"
"Westminster Public Schools","All Schools",Mathematics,08,95.4,49.3,12.7,15.8,"  -3.1"
"Alamosa RE-11J","All Schools","English Language Arts","All Grades",91.5,19.1,28.2,35.3,"  -7.1"
"Alamosa RE-11J","All Schools","English Language Arts",03,94.3,20.9,31.1,30.6,"   0.5"
"Alamosa RE-11J","All Schools","English Language Arts",04,91.1,18.8,29.9,33.7,"  -3.8"
"Alamosa RE-11J","All Schools","English Language Arts",05,92.9,10.5,38.6,44.4,"  -5.8"
"Alamosa RE-11J","All Schools","English Language Arts",06,91.3,23.4,15.6,34.2," -18.6"
"Alamosa RE-11J","All Schools","English Language Arts",07,90.3,18.1,28.2,43.2," -15.0"
"Alamosa RE-11J","All Schools","English Language Arts",08,89.3,24.0,26.0,26.6,"  -0.6"
"Alamosa RE-11J","All Schools",Mathematics,"All Grades",91.5,27.9,15.4,24.6,"  -9.2"
"Alamosa RE-11J","All Schools",Mathematics,03,94.2,24.5,23.1,33.5," -10.4"
"Alamosa RE-11J","All Schools",Mathematics,04,91.2,24.5,20.0,27.8,"  -7.8"
"Alamosa RE-11J","All Schools",Mathematics,05,92.9,27.5,21.1,24.2,"  -3.1"
"Alamosa RE-11J","All Schools",Mathematics,06,90.2,32.1,9.1,15.1,"  -6.0"
"Alamosa RE-11J","All Schools",Mathematics,07,91.3,23.5,7.3,20.5," -13.2"
"Alamosa RE-11J","All Schools",Mathematics,08,89.3,36.0,13.3,23.3," -10.0"
"Sangre De Cristo Re-22J","All Schools","English Language Arts","All Grades",99.2,5.9,47.5,56.8,"  -9.3"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",03,100.0,"*",52.6,58.8,"  -6.2"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",04,100.0,"*","*",75.0,"*"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",05,100.0,"*",54.5,55.2,"  -0.7"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",06,100.0,"*","*",60.0,"*"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",07,100.0,"*",60.7,48.0,"  12.7"
"Sangre De Cristo Re-22J","All Schools","English Language Arts",08,94.4,17.6,23.5,42.9," -19.4"
"Sangre De Cristo Re-22J","All Schools",Mathematics,"All Grades",99.2,7.6,28.8,28.3,"   0.5"
"Sangre De Cristo Re-22J","All Schools",Mathematics,03,100.0,"*",36.8,47.1," -10.3"
"Sangre De Cristo Re-22J","All Schools",Mathematics,04,100.0,"*",16.7,45.8," -29.1"
"Sangre De Cristo Re-22J","All Schools",Mathematics,05,100.0,"*",40.9,24.1,"  16.8"
"Sangre De Cristo Re-22J","All Schools",Mathematics,06,100.0,"*","*",17.2,"*"
"Sangre De Cristo Re-22J","All Schools",Mathematics,07,100.0,"*",28.6,24.0,"   4.6"
"Sangre De Cristo Re-22J","All Schools",Mathematics,08,94.4,"*","*",19.0,"*"
"Englewood 1","All Schools","English Language Arts","All Grades",88.1,18.2,31.7,33.2,"  -1.5"
"Englewood 1","All Schools","English Language Arts",03,93.3,35.3,23.0,30.4,"  -7.4"
"Englewood 1","All Schools","English Language Arts",04,93.9,17.6,28.2,49.7," -21.5"
"Englewood 1","All Schools","English Language Arts",05,93.2,8.0,37.7,42.0,"  -4.3"
"Englewood 1","All Schools","English Language Arts",06,87.2,12.4,31.8,35.8,"  -4.0"
"Englewood 1","All Schools","English Language Arts",07,85.4,15.5,37.2,16.9,"  20.3"
"Englewood 1","All Schools","English Language Arts",08,73.4,20.6,34.3,20.0,"  14.3"
"Englewood 1","All Schools",Mathematics,"All Grades",87.4,22.6,21.2,23.3,"  -2.1"
"Englewood 1","All Schools",Mathematics,03,94.0,26.4,19.3,31.3," -12.0"
"Englewood 1","All Schools",Mathematics,04,92.3,25.1,13.2,35.3," -22.1"
"Englewood 1","All Schools",Mathematics,05,93.2,19.6,29.0,27.2,"   1.8"
"Englewood 1","All Schools",Mathematics,06,86.5,17.2,19.5,18.9,"   0.6"
"Englewood 1","All Schools",Mathematics,07,82.8,13.6,24.8,9.3,"  15.5"
"Englewood 1","All Schools",Mathematics,08,74.1,35.0,24.3,16.7,"   7.6"
"Sheridan 2","All Schools","English Language Arts","All Grades",92.8,28.8,16.3,18.0,"  -1.7"
"Sheridan 2","All Schools","English Language Arts",03,100.0,25.5,17.6,10.1,"   7.5"
"Sheridan 2","All Schools","English Language Arts",04,100.0,38.1,15.9,18.4,"  -2.5"
"Sheridan 2","All Schools","English Language Arts",05,92.1,22.4,10.3,22.2," -11.9"
"Sheridan 2","All Schools","English Language Arts",06,96.1,30.1,6.8,14.9,"  -8.1"
"Sheridan 2","All Schools","English Language Arts",07,88.5,25.9,17.6,24.3,"  -6.7"
"Sheridan 2","All Schools","English Language Arts",08,86.9,30.1,25.8,16.5,"   9.3"
"Sheridan 2","All Schools",Mathematics,"All Grades",95.4,39.3,6.4,8.7,"  -2.3"
"Sheridan 2","All Schools",Mathematics,03,100.0,30.2,22.6,5.0,"  17.6"
"Sheridan 2","All Schools",Mathematics,04,100.0,48.4,4.7,11.1,"  -6.4"
"Sheridan 2","All Schools",Mathematics,05,93.7,25.4,"*",14.3,"*"
"Sheridan 2","All Schools",Mathematics,06,100.0,47.4,"*",2.9,"*"
"Sheridan 2","All Schools",Mathematics,07,89.6,25.6,3.5,8.5,"  -5.0"
"Sheridan 2","All Schools",Mathematics,08,93.5,52.0,7.0,10.6,"  -3.6"
"Cherry Creek 5","All Schools","English Language Arts","All Grades",73.1,11.5,49.4,50.8,"  -1.4"
"Cherry Creek 5","All Schools","English Language Arts",03,89.6,16.2,47.1,48.5,"  -1.4"
"Cherry Creek 5","All Schools","English Language Arts",04,86.9,10.7,51.7,53.9,"  -2.2"
"Cherry Creek 5","All Schools","English Language Arts",05,85.9,7.1,49.2,51.8,"  -2.6"
"Cherry Creek 5","All Schools","English Language Arts",06,71.9,9.7,47.8,47.9,"  -0.1"
"Cherry Creek 5","All Schools","English Language Arts",07,61.9,11.8,50.0,51.7,"  -1.7"
"Cherry Creek 5","All Schools","English Language Arts",08,47.3,14.4,51.5,50.4,"   1.1"
"Cherry Creek 5","All Schools",Mathematics,"All Grades",73.3,13.3,40.2,43.1,"  -2.9"
"Cherry Creek 5","All Schools",Mathematics,03,89.7,12.5,49.1,49.9,"  -0.8"
"Cherry Creek 5","All Schools",Mathematics,04,87.0,14.7,36.2,39.6,"  -3.4"
"Cherry Creek 5","All Schools",Mathematics,05,85.5,12.2,41.4,42.1,"  -0.7"
"Cherry Creek 5","All Schools",Mathematics,06,72.6,15.8,34.4,38.6,"  -4.2"
"Cherry Creek 5","All Schools",Mathematics,07,62.2,9.6,33.8,42.3,"  -8.5"
"Cherry Creek 5","All Schools",Mathematics,08,47.4,15.4,46.0,47.0,"  -1.0"
"Littleton 6","All Schools","English Language Arts","All Grades",85.7,6.7,61.6,64.1,"  -2.5"
"Littleton 6","All Schools","English Language Arts",03,94.7,10.1,56.1,56.4,"  -0.3"
"Littleton 6","All Schools","English Language Arts",04,92.8,6.4,59.7,66.0,"  -6.3"
"Littleton 6","All Schools","English Language Arts",05,93.0,3.5,64.1,66.4,"  -2.3"
"Littleton 6","All Schools","English Language Arts",06,82.0,4.8,58.2,58.5,"  -0.3"
"Littleton 6","All Schools","English Language Arts",07,82.6,7.1,64.9,68.3,"  -3.4"
"Littleton 6","All Schools","English Language Arts",08,71.4,8.8,66.6,69.3,"  -2.7"
"Littleton 6","All Schools",Mathematics,"All Grades",86.1,7.9,48.1,52.5,"  -4.4"
"Littleton 6","All Schools",Mathematics,03,94.7,7.6,50.9,55.0,"  -4.1"
"Littleton 6","All Schools",Mathematics,04,94.0,9.1,39.2,45.1,"  -5.9"
"Littleton 6","All Schools",Mathematics,05,93.5,7.2,50.7,52.8,"  -2.1"
"Littleton 6","All Schools",Mathematics,06,82.1,8.9,45.3,46.1,"  -0.8"
"Littleton 6","All Schools",Mathematics,07,82.9,4.7,47.3,56.3,"  -9.0"
"Littleton 6","All Schools",Mathematics,08,71.5,10.5,56.7,61.1,"  -4.4"
"Deer Trail 26J","All Schools","English Language Arts","All Grades",96.9,23.4,13.7,24.4," -10.7"
"Deer Trail 26J","All Schools","English Language Arts",03,100.0,14.3,"*",15.0,"*"
"Deer Trail 26J","All Schools","English Language Arts",04,100.0,"*",38.9,"*","*"
"Deer Trail 26J","All Schools","English Language Arts",05,96.8,20.0,13.3,"*","*"
"Deer Trail 26J","All Schools","English Language Arts",06,100.0,22.2,"*",31.6,"*"
"Deer Trail 26J","All Schools","English Language Arts",07,93.3,"*","*","*","*"
"Deer Trail 26J","All Schools","English Language Arts",08,88.9,62.5,"*","*","*"
"Deer Trail 26J","All Schools",Mathematics,"All Grades",96.9,20.2,25.0,11.1,"  13.9"
"Deer Trail 26J","All Schools",Mathematics,03,100.0,10.7,32.1,15.0,"  17.1"
"Deer Trail 26J","All Schools",Mathematics,04,100.0,"*",50.0,"*","*"
"Deer Trail 26J","All Schools",Mathematics,05,96.8,26.7,30.0,"*","*"
"Deer Trail 26J","All Schools",Mathematics,06,100.0,"*","*","*","*"
"Deer Trail 26J","All Schools",Mathematics,07,93.3,"*","*","*","*"
"Deer Trail 26J","All Schools",Mathematics,08,88.9,43.8,"*","*","*"
"Aurora Public Schools","All Schools","English Language Arts","All Grades",93.6,30.6,23.6,26.4,"  -2.8"
"Aurora Public Schools","All Schools","English Language Arts",03,96.0,46.1,20.4,22.8,"  -2.4"
"Aurora Public Schools","All Schools","English Language Arts",04,96.5,32.3,22.7,27.0,"  -4.3"
"Aurora Public Schools","All Schools","English Language Arts",05,94.7,19.8,23.3,28.5,"  -5.2"
"Aurora Public Schools","All Schools","English Language Arts",06,94.3,23.8,24.2,25.3,"  -1.1"
"Aurora Public Schools","All Schools","English Language Arts",07,91.1,32.3,22.1,25.2,"  -3.1"
"Aurora Public Schools","All Schools","English Language Arts",08,89.5,29.6,28.9,30.0,"  -1.1"
"Aurora Public Schools","All Schools",Mathematics,"All Grades",93.7,35.0,13.8,18.2,"  -4.4"
"Aurora Public Schools","All Schools",Mathematics,03,96.7,40.5,18.3,23.7,"  -5.4"
"Aurora Public Schools","All Schools",Mathematics,04,96.2,37.1,11.6,17.0,"  -5.4"
"Aurora Public Schools","All Schools",Mathematics,05,95.1,35.0,13.8,19.3,"  -5.5"
"Aurora Public Schools","All Schools",Mathematics,06,94.2,36.8,11.3,15.6,"  -4.3"
"Aurora Public Schools","All Schools",Mathematics,07,91.0,22.6,11.0,14.5,"  -3.5"
"Aurora Public Schools","All Schools",Mathematics,08,89.4,38.6,16.8,19.3,"  -2.5"
"Byers 32J","All Schools","English Language Arts","All Grades",16.8,9.7,47.3,37.6,"   9.7"
"Byers 32J","All Schools","English Language Arts",03,16.5,"*",60.7,37.7,"  23.0"
"Byers 32J","All Schools","English Language Arts",04,18.7,"*",56.8,35.6,"  21.2"
"Byers 32J","All Schools","English Language Arts",05,22.3,"*",37.5,43.8,"  -6.3"
"Byers 32J","All Schools","English Language Arts",06,18.3,10.3,50.0,35.9,"  14.1"
"Byers 32J","All Schools","English Language Arts",07,16.7,14.1,34.4,37.5,"  -3.1"
"Byers 32J","All Schools","English Language Arts",08,12.8,13.8,53.8,35.1,"  18.7"
"Byers 32J","All Schools",Mathematics,"All Grades",16.7,14.7,31.4,26.5,"   4.9"
"Byers 32J","All Schools",Mathematics,03,16.5,"*",60.7,34.8,"  25.9"
"Byers 32J","All Schools",Mathematics,04,18.7,"*",45.9,15.3,"  30.6"
"Byers 32J","All Schools",Mathematics,05,23.3,20.0,28.0,24.2,"   3.8"
"Byers 32J","All Schools",Mathematics,06,18.6,22.0,32.2,24.2,"   8.0"
"Byers 32J","All Schools",Mathematics,07,15.4,6.8,15.3,33.3," -18.0"
"Byers 32J","All Schools",Mathematics,08,13.0,18.2,27.3,25.7,"   1.6"
"Archuleta County 50 Jt","All Schools","English Language Arts","All Grades",97.9,21.9,26.1,35.2,"  -9.1"
"Archuleta County 50 Jt","All Schools","English Language Arts",03,97.5,25.4,25.4,24.2,"   1.2"
"Archuleta County 50 Jt","All Schools","English Language Arts",04,98.3,20.9,32.2,41.3,"  -9.1"
"Archuleta County 50 Jt","All Schools","English Language Arts",05,96.6,13.4,16.1,39.4," -23.3"
"Archuleta County 50 Jt","All Schools","English Language Arts",06,97.8,24.8,29.3,22.0,"   7.3"
"Archuleta County 50 Jt","All Schools","English Language Arts",07,98.4,20.5,29.1,31.0,"  -1.9"
"Archuleta County 50 Jt","All Schools","English Language Arts",08,98.4,25.2,23.6,56.3," -32.7"
"Archuleta County 50 Jt","All Schools",Mathematics,"All Grades",97.6,25.0,17.6,26.9,"  -9.3"
"Archuleta County 50 Jt","All Schools",Mathematics,03,95.8,25.2,28.7,27.8,"   0.9"
"Archuleta County 50 Jt","All Schools",Mathematics,04,98.3,22.4,21.6,28.6,"  -7.0"
"Archuleta County 50 Jt","All Schools",Mathematics,05,96.6,37.2,9.7,21.1," -11.4"
"Archuleta County 50 Jt","All Schools",Mathematics,06,97.8,24.1,9.8,19.9," -10.1"
"Archuleta County 50 Jt","All Schools",Mathematics,07,98.4,12.6,15.7,25.4,"  -9.7"
"Archuleta County 50 Jt","All Schools",Mathematics,08,98.4,29.9,21.3,40.3," -19.0"
"Walsh RE-1","All Schools","English Language Arts","All Grades",93.8,14.5,40.8,59.7," -18.9"
"Walsh RE-1","All Schools","English Language Arts",03,100.0,25.0,"*","*","*"
"Walsh RE-1","All Schools","English Language Arts",04,89.5,17.6,41.2,"*","*"
"Walsh RE-1","All Schools","English Language Arts",05,83.3,"*","*",52.9,"*"
"Walsh RE-1","All Schools","English Language Arts",06,100.0,"*","*","*","*"
"Walsh RE-1","All Schools","English Language Arts",07,100.0,"*","*","*","*"
"Walsh RE-1","All Schools","English Language Arts",08,91.7,"*","*","*","*"
"Walsh RE-1","All Schools",Mathematics,"All Grades",93.8,10.5,30.3,35.8,"  -5.5"
"Walsh RE-1","All Schools",Mathematics,03,100.0,"*",31.3,"*","*"
"Walsh RE-1","All Schools",Mathematics,04,89.5,23.5,23.5,"*","*"
"Walsh RE-1","All Schools",Mathematics,05,83.3,"*","*","*","*"
"Walsh RE-1","All Schools",Mathematics,06,100.0,"*","*","*","*"
"Walsh RE-1","All Schools",Mathematics,07,100.0,"*","*","*","*"
"Walsh RE-1","All Schools",Mathematics,08,91.7,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts","All Grades",0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",03,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",04,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",05,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",06,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",07,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools","English Language Arts",08,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,"All Grades",0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,03,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,04,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,05,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,06,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,07,0.0,"*","*","*","*"
"Pritchett RE-3","All Schools",Mathematics,08,0.0,"*","*","*","*"
"Springfield RE-4","All Schools","English Language Arts","All Grades",96.2,18.3,28.6,23.8,"   4.8"
"Springfield RE-4","All Schools","English Language Arts",03,100.0,"*",66.7,44.8,"  21.9"
"Springfield RE-4","All Schools","English Language Arts",04,87.0,20.0,45.0,23.5,"  21.5"
"Springfield RE-4","All Schools","English Language Arts",05,100.0,21.1,26.3,12.1,"  14.2"
"Springfield RE-4","All Schools","English Language Arts",06,95.7,"*",22.7,"*","*"
"Springfield RE-4","All Schools","English Language Arts",07,100.0,"*","*",33.3,"*"
"Springfield RE-4","All Schools","English Language Arts",08,96.6,28.6,"*","*","*"
"Springfield RE-4","All Schools",Mathematics,"All Grades",97.7,15.6,23.4,23.8,"  -0.4"
"Springfield RE-4","All Schools",Mathematics,03,100.0,"*",66.7,31.0,"  35.7"
"Springfield RE-4","All Schools",Mathematics,04,95.7,22.7,27.3,"*","*"
"Springfield RE-4","All Schools",Mathematics,05,100.0,"*","*",21.2,"*"
"Springfield RE-4","All Schools",Mathematics,06,95.7,"*",27.3,20.0,"   7.3"
"Springfield RE-4","All Schools",Mathematics,07,100.0,15.8,"*",27.8,"*"
"Springfield RE-4","All Schools",Mathematics,08,96.6,25.0,10.7,"*","*"
"Vilas RE-5","All Schools","English Language Arts","All Grades",27.0,"*","*",38.1,"*"
"Vilas RE-5","All Schools","English Language Arts",03,25.0,"*","*",N/A,"*"
"Vilas RE-5","All Schools","English Language Arts",04,50.0,"*","*","*","*"
"Vilas RE-5","All Schools","English Language Arts",05,28.6,"*","*","*","*"
"Vilas RE-5","All Schools","English Language Arts",06,33.3,"*","*","*","*"
"Vilas RE-5","All Schools","English Language Arts",07,0.0,"*","*","*","*"
"Vilas RE-5","All Schools","English Language Arts",08,22.2,"*","*","*","*"
